type,frame,crop_path,class,conf,x1,y1,x2,y2
fn,0,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000000_0000.jpg,unknown,,0,0,1079,681
fn,20,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000020_0001.jpg,unknown,,331,513,379,608
fn,24,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000024_0002.jpg,unknown,,343,495,411,621
fn,28,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000028_0003.jpg,unknown,,152,389,205,464
fn,32,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000032_0004.jpg,unknown,,210,415,257,474
fn,124,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000124_0005.jpg,unknown,,0,0,194,14
fn,128,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000128_0006.jpg,unknown,,0,0,207,15
fn,132,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000132_0007.jpg,unknown,,0,0,187,15
fn,136,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000136_0008.jpg,unknown,,0,0,175,15
fn,184,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000184_0009.jpg,unknown,,0,383,65,539
fn,188,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000188_0010.jpg,unknown,,0,148,114,543
fp,204,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000204_0000.jpg,bottle,0.2322,60,35,324,530
fp,208,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000208_0001.jpg,bottle,0.3236,118,28,378,528
fp,212,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000212_0002.jpg,bottle,0.4743,177,50,429,533
fp,212,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000212_0003.jpg,bottle,0.4500,190,237,426,539
fp,212,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000212_0004.jpg,bottle,0.1571,122,28,372,516
fp,216,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000216_0005.jpg,bottle,0.2858,204,28,473,533
fp,220,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000220_0006.jpg,bottle,0.3378,241,28,525,531
fp,224,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000224_0007.jpg,bottle,0.4369,293,34,568,539
fp,228,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000228_0008.jpg,bottle,0.1503,337,27,609,536
fp,236,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000236_0009.jpg,bottle,0.3635,491,142,721,532
fp,240,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000240_0010.jpg,bottle,0.4002,542,104,781,529
fp,240,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000240_0011.jpg,can,0.3529,497,34,697,257
fp,244,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000244_0012.jpg,bottle,0.4964,600,100,841,528
fp,248,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000248_0013.jpg,bottle,0.4408,648,65,889,530
fp,248,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000248_0014.jpg,bottle,0.3277,615,29,811,255
fp,248,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000248_0015.jpg,can,0.2772,613,28,812,255
