epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2586,1.01285,2.13015,1.22486,0.74587,0.74721,0.8148,0.64277,0.60613,1.38511,0.98056,0.000545918,0.000545918,0.000545918
2,121.805,0.87929,1.34495,1.11904,0.63974,0.85854,0.88712,0.72411,0.64148,1.40514,0.99488,0.000992528,0.000992528,0.000992528
3,179,0.89349,1.19052,1.12928,0.81632,0.79753,0.90242,0.71177,0.69525,1.08892,1.01302,0.00132912,0.00132912,0.00132912
4,236.582,0.81367,1.02816,1.06588,0.86753,0.90811,0.92785,0.76241,0.64386,1.07469,1.02017,0.0011719,0.0011719,0.0011719
5,293.992,0.776,0.96893,1.05689,0.95244,0.92109,0.97406,0.86749,0.47007,0.78646,0.91058,0.00100687,0.00100687,0.00100687
6,351.946,0.72857,0.89859,1.02775,0.88086,0.9229,0.95745,0.83088,0.51103,0.89085,0.92518,0.000841835,0.000841835,0.000841835
7,409.784,0.68647,0.84145,1.00538,0.94521,0.89224,0.97086,0.88054,0.44277,0.74667,0.86876,0.000676802,0.000676802,0.000676802
8,466.706,0.64356,0.79866,0.98786,0.94816,0.93504,0.97545,0.87035,0.44964,0.7026,0.88535,0.000511769,0.000511769,0.000511769
9,523.72,0.62431,0.76238,0.97584,0.96976,0.92895,0.98555,0.91948,0.3885,0.67884,0.85549,0.000346736,0.000346736,0.000346736
10,580.044,0.58318,0.6894,0.95251,0.95041,0.95895,0.98621,0.91758,0.37186,0.63538,0.84732,0.000181703,0.000181703,0.000181703
